Model;Dataset;n_time_steps;MSE;RMSE;MAE;MAPE (%);sMAPE (%);Duration (s)
SVR;IBM Stock prices;1;2,4;1,5;0,9;1,0;0,5;1,6
SVR;IBM Stock prices;2;2,3;1,5;0,9;1,0;0,5;1,6
SVR;IBM Stock prices;6;2,4;1,5;0,9;1,0;0,5;1,6
SVR;IBM Stock prices;5;2,3;1,5;0,9;1,0;0,5;1,5
MLP;TSLA Stock prices;2;95,0;9,7;6,9;3,7;1,8;17,5
STL-ASL;IBM Stock prices;1;49,4;7,0;4,8;4,7;2,4;163,8
ARIMA;IBM Stock prices;2;325,6;18,0;14,5;12,7;6,9;44,6
ARIMA;IBM Stock prices;2;325,6;18,0;14,5;12,7;6,9;37,8
LSTM;IBM Stock prices;0;451,6;21,3;19,3;16,2;8,9;103,2
LSTM;IBM Stock prices;0;451,7;21,3;19,3;16,2;8,9;104,8
