Dataset;Model;n_time_steps;MSE;RMSE;MAE;MAPE (%);sMAPE (%);Duration (s)
Canadian Lynx;SVR;3;726960,0;852,6;356,2;111,9;25,3;1,6
Canadian Lynx;SVR;12;655930,9;809,9;582,2;144,7;26,5;0,8
Canadian Lynx;SVR;4;637867,3;798,7;490,2;171,9;27,4;1,9
Canadian Lynx;SVR;2;764210,9;874,2;448,9;160,4;27,9;1,0
Canadian Lynx;SVR;17;712667,7;844,2;486,8;98,4;30,0;0,8
Canadian Lynx;SVR;11;603128,3;776,6;416,0;136,3;30,3;0,9
Canadian Lynx;SVR;1;1111000,7;1054,0;617,8;101,0;30,5;0,6
Canadian Lynx;MLP;5;998953,3;999,5;804,8;169,8;30,6;12,1
Canadian Lynx;SVR;13;560756,5;748,8;486,0;141,1;31,1;0,7
Canadian Lynx;SVR;7;712802,0;844,3;505,7;181,7;31,6;1,1
Canadian Lynx;SVR;8;617076,8;785,5;480,1;114,8;32,7;1,0
Canadian Lynx;SVR;22;904374,0;951,0;344,8;95,2;33,3;0,8
Canadian Lynx;ARIMA;1;1133072,3;1064,5;768,3;168,4;33,6;24,5
Canadian Lynx;SVR;14;858752,1;926,7;576,2;129,9;33,7;0,7
Canadian Lynx;SVR;9;843910,7;918,6;429,3;236,0;34,6;1,1
Canadian Lynx;MLP;7;1287403,4;1134,6;1001,2;256,7;35,5;19,9
Canadian Lynx;SVR;21;1745608,1;1321,2;582,6;144,7;39,3;0,8
Canadian Lynx;SVR;20;1762932,0;1327,8;575,2;144,0;39,4;0,8
Canadian Lynx;SVR;19;1819150,7;1348,8;557,5;141,7;40,0;0,8
Canadian Lynx;SVR;18;1825215,5;1351,0;556,3;144,5;40,3;1,0
Canadian Lynx;SVR;15;1919990,6;1385,6;584,3;143,0;40,8;0,7
Canadian Lynx;SVR;16;1947054,6;1395,4;543,3;137,7;40,8;0,7
Canadian Lynx;SVR;23;633875,8;796,2;529,7;114,4;42,0;0,8
Canadian Lynx;ARIMA;2;1649468,8;1284,3;1141,7;326,5;42,1;4,4
Canadian Lynx;LSTM;0;1814454,1;1347,0;1214,0;312,8;42,2;82,7
Canadian Lynx;MLP;6;1879639,5;1371,0;1247,5;351,6;42,4;14,0
Canadian Lynx;SVR;24;902368,8;949,9;712,2;131,6;43,0;0,8
Canadian Lynx;SVR;10;2245707,3;1498,6;567,2;144,3;43,7;1,0
Canadian Lynx;SVR;6;2613572,3;1616,7;682,1;145,5;45,4;1,1
Canadian Lynx;SVR;5;1386511,3;1177,5;852,9;206,0;45,7;1,6
Canadian Lynx;MLP;3;2593626,9;1610,5;728,5;168,2;46,4;14,1
Canadian Lynx;SVR;0;2751586,3;1658,8;805,1;153,8;47,3;14,0
Canadian Lynx;MLP;2;3216708,8;1793,5;843,2;117,2;51,0;9,3
Canadian Lynx;MLP;4;3243213,9;1800,9;854,2;115,6;51,4;11,7
Canadian Lynx;MLP;1;3451189,3;1857,7;1108,4;108,0;54,1;10,7
Canadian Lynx;MLP;0;3478460,1;1865,1;1118,8;106,7;54,5;25,7
Canadian Lynx;ARIMA;0;4635415,5;2153,0;1334,5;100,0;100,0;0,1
IBM Stock prices;SVR;1;2,4;1,5;0,9;1,0;0,5;1,6
IBM Stock prices;SVR;2;2,3;1,5;0,9;1,0;0,5;1,6
IBM Stock prices;SVR;5;2,3;1,5;0,9;1,0;0,5;1,5
IBM Stock prices;SVR;6;2,4;1,5;0,9;1,0;0,5;1,6
IBM Stock prices;SVR;7;2,4;1,5;1,0;1,0;0,5;1,7
IBM Stock prices;SVR;8;2,6;1,6;0,9;1,0;0,5;2,6
IBM Stock prices;SVR;12;2,7;1,7;1,0;1,1;0,5;3,3
IBM Stock prices;SVR;9;3,2;1,8;1,1;1,1;0,6;3,7
