model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
ARIMA;IBM Stock prices;2;325,5979483226752;18,044332858897143;14,453198876904466;12,654723797046431;6,89;44,57783436775208; ARIMA(1,0,1)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;1;437,4720247427163;20,91583191610404;18,95917631319665;15,914406519898415;8,74;15,088876008987429; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;3;439,0000112310561;20,95232710777149;18,98832824130301;15,937733119811758;8,75;23,39579439163208; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;4;440,1030116746878;20,97863226415601;19,06382219629424;15,95812670173663;8,76;29,006713151931763; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;5;441,26826601845465;21,00638631508177;19,13969570531178;15,980337395420907;8,78;34,67583465576172; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;6;442,3457917550962;21,03201825206264;19,18271006028205;15,999848072334975;8,79;28,4622220993042; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;7;443,2331029698294;21,053101979751805;19,224813150801825;16,014051184098534;8,8;36,749271631240845; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;8;443,9858506761362;21,070971754433543;19,26193002885305;16,024808163115033;8,8;41,863401651382446; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;13;445,8487649430866;21,11513118460519;19,256022277615443;16,04051378702316;8,81;63,73494720458984; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;9;444,529350045386;21,083864684762755;19,29915024394596;16,031139251719292;8,81;44,58161878585816; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;11;445,2775284833633;21,10160014035341;19,30919873560424;16,03739798081634;8,81;61,88706636428833; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;10;444,9716762043568;21,094351760704967;19,308513281845684;16,035465380905976;8,81;65,0418701171875; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;15;445,8669296753157;21,11556131565808;19,19444746034493;16,03569221497766;8,81;62,59408378601074; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;14;445,8231973196424;21,114525742238264;19,22492332049341;16,037532598977496;8,81;62,26718521118164; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;12;445,59866200208273;21,109207990876463;19,282403440841527;16,03952871678971;8,81;60,1066210269928; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;1;2698,427112687069;51,94638690695504;38,471962401381504;27,959284411598084;13,09;66,70621085166931; ARIMA(0,1,1)(0,0,0)[12]          
ARIMA;IBM Stock prices;2;2700,594397007268;51,96724350018257;38,53;27,992997811011872;13,1;18,933066844940186; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;0;2699,4411106837606;51,956146033782765;38,52;27,98137776597084;13,1;1,3909785747528076; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;3;2701,7459858853726;51,97832226885909;38,535000000000025;28,004265932399687;13,11;15,32845664024353; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;5;2704,0546181934924;52,00052517228545;38,54999999999998;28,02712121058232;13,12;34,99722957611084; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;6;2705,211695074946;52,01164960924568;38,55999999999997;28,03874867611262;13,13;19,44996404647827; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;7;2706,368354070265;52,02276765100321;38,57499999999997;28,05017747788864;13,13;22,271987438201904; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;10;2709,8449996568;52,056171580868295;38,589999999999975;28,084771627059407;13,15;62,74369072914124; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;11;2711,007513347639;52,067336338126985;38,59999999999998;28,096552813840304;13,15;69,46496820449829; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;24;2726,195;52,21297731407394;38,79999999999998;28,24798677578224;13,22;123,02738380432127; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;23;2725,0225301984465;52,201748344269525;38,76499999999999;28,23654612443504;13,22;122,66601276397704; ARIMA(0,1,0)(0,0,0)[12]          
ARIMA;IBM Stock prices;4;2817,417826464092;53,079354050931066;51,41405162848403;33,69542801666058;14,36;95,29297709465028; ARIMA(2,1,1)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;9;2824,6344984651537;53,14729060323916;51,47219984530591;33,769436228453195;14,39;55,76734781265259; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;IBM Stock prices;8;2827,453912549417;53,17380852026134;51,51258549256576;33,79693686901636;14,4;54,080662965774536; ARIMA(1,1,0)(0,0,0)[12] intercept
ARIMA;IBM Stock prices;12;2827,431270023821;53,173595609323066;51,49968772873444;33,80932100998294;14,41;55,450011014938354; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;13;2828,3056897883835;53,18181728550072;51,5173492884971;33,82179140793091;14,41;85,12292337417603; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;14;2828,4829524583715;53,18348383152773;51,52289183266305;33,826802891188706;14,42;65,31310224533081; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;16;2827,5519156538385;53,174730047775874;51,47299888988758;33,822587210468264;14,42;57,376925230026245; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;18;2827,500557694952;53,174247128614354;51,43505362330902;33,828143142287104;14,43;157,49005484580994; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;15;2831,568961567977;53,21248877442191;51,54184002990328;33,85408381660535;14,43;60,86920619010925; ARIMA(0,1,0)(1,0,1)[12] intercept
ARIMA;IBM Stock prices;17;2828,255865038871;53,18134884561383;51,46670491478697;33,83343166181735;14,43;129,37265968322754; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;21;2830,95867728286;53,20675405700728;51,55888620722152;33,874680616310194;14,44;174,66779398918152; ARIMA(0,1,1)(0,0,1)[12] intercept
ARIMA;IBM Stock prices;22;2829,274123621364;53,190921439860055;51,4888090079744;33,85836731468953;14,44;158,7007496356964; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;IBM Stock prices;19;2833,576777886659;53,23135145651159;51,53011977053646;33,8882868779555;14,45;66,28291320800781; ARIMA(0,1,0)(1,0,1)[12] intercept
ARIMA;IBM Stock prices;20;2833,877519854805;53,23417623909292;51,54650522663599;33,894418491970825;14,45;73,50678181648254; ARIMA(0,1,0)(1,0,1)[12] intercept
ARIMA;TSLA Stock prices;12;13317,18986977132;115,40012941834736;62,85804145370187;26,24584407150406;15,72;100,2012975215912; ARIMA(0,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;13;13316,406007594613;115,3967330889164;62,88159234327412;26,258839018180645;15,73;197,4333951473236; ARIMA(1,1,1)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;1;13438,674803525944;115,92529837583317;63,10828338242007;26,20866195926648;15,76;119,13206148147584; ARIMA(2,1,2)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;14;13365,861078760903;115,61081730859316;63,25235793997993;26,319951218376826;15,77;142,41092491149902; ARIMA(0,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;17;13386,693147298694;115,7008779020224;63,3214170043394;26,38072740607733;15,81;68,24262475967407; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;2;13498,267940232636;116,18204654864984;63,648092732736345;26,28625687831874;15,82;116,84839630126952; ARIMA(1,1,2)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;19;13434,045231905691;115,90532874680824;63,595039202407776;26,421640585933925;15,84;51,40807795524597; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;23;13469,92540107503;116,06000775924078;63,776757508383696;26,419310631487527;15,85;64,54166626930237; ARIMA(0,1,0)(1,0,1)[12] intercept
ARIMA;TSLA Stock prices;18;13466,296914009556;116,04437476245695;63,645205602925984;26,45146721710437;15,86;138,71630859375; ARIMA(0,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;20;13458,392291567085;116,0103111433078;63,659799957205536;26,441494126704423;15,86;55,21654891967773; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;21;13481,952863454855;116,11181190324632;63,70995586269604;26,45905641686456;15,87;64,18259406089783; ARIMA(1,1,0)(1,0,0)[12] intercept
ARIMA;TSLA Stock prices;6;13665,912055818868;116,90129193391692;64,76490595288973;26,502321684090784;15,97;62,28762173652649; ARIMA(0,1,1)(2,0,1)[12] intercept
ARIMA;TSLA Stock prices;7;13691,240683185468;117,0095751773566;64,86115892606185;26,542191427750804;16,0;58,61769604682922; ARIMA(0,1,1)(2,0,1)[12] intercept
ARIMA;TSLA Stock prices;8;13721,512294646893;117,13885902913212;64,95747452223434;26,586343443779388;16,03;110,65168976783752; ARIMA(2,1,0)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;9;13748,11119541067;117,25233982915084;65,00203537900987;26,62690618313221;16,05;58,709986209869385; ARIMA(1,1,0)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;10;13777,129319529951;117,37601679870532;65,11836948079734;26,66944465285239;16,08;112,8485198020935; ARIMA(0,1,1)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;15;13921,001472965198;117,98729369285998;66,0180782791557;26,88356571070161;16,22;87,33090448379517; ARIMA(1,1,0)(2,0,0)[12] intercept
ARIMA;TSLA Stock prices;16;13948,264585704996;118,10277128715056;66,1738814781493;26,924878571425708;16,25;83,05268716812134; ARIMA(1,1,0)(2,0,0)[12] intercept
