model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
LSTM;IBM;0;451,6343688964844;21,25169096557929;19,319488525390625;16,216335;8,91;103,24068593978882;LSTM (8,8,8) n_time_steps=0 epochs=200
LSTM;IBM;0;451,6645812988281;21,2524017771834;19,32025146484375;16,216972;8,91;104,816100358963;LSTM (8,8,64) n_time_steps=0 epochs=200
LSTM;IBM;0;452,07659912109375;21,26209300894655;19,33063507080078;16,225676;8,92;224,26940512657168;LSTM (8,8,32) n_time_steps=0 epochs=200
LSTM;IBM;0;452,390380859375;21,26947062950498;19,33853912353516;16,232296;8,92;94,75720286369324;LSTM (8,8,16) n_time_steps=0 epochs=200
LSTM;IBM;0;452,3936767578125;21,26954810892353;19,338623046875;16,232368;8,92;334,96513319015503;LSTM (8,8,100) n_time_steps=0 epochs=200
LSTM;IBM;0;454,7363586425781;21,32454826350556;19,397537231445312;16,281736;8,95;116,74748992919922;LSTM (8,16,100) n_time_steps=0 epochs=200
LSTM;IBM;0;454,92626953125;21,32900066883702;19,402305603027344;16,285732;8,96;397,5719342231751;LSTM (8,16,16) n_time_steps=0 epochs=200
LSTM;IBM;0;455,0675964355469;21,332313433745224;19,40585327148437;16,288704;8,96;351,9538998603821;LSTM (8,16,8) n_time_steps=0 epochs=200
LSTM;IBM;0;455,06060791015625;21,33214963172152;19,40567779541016;16,288557;8,96;71,54888105392456;LSTM (8,16,64) n_time_steps=0 epochs=200
LSTM;IBM;0;454,91595458984375;21,328758861917954;19,40204620361328;16,285515;8,96;115,458181142807;LSTM (8,16,32) n_time_steps=0 epochs=200
LSTM;IBM;0;457,29681396484375;21,384499385415683;19,46173095703125;16,33553;8,98;55,80844020843506;LSTM (8,32,16) n_time_steps=0 epochs=200
LSTM;IBM;0;457,3236389160156;21,385126581715987;19,46240234375;16,33609;8,99;57,27856230735779;LSTM (8,32,8) n_time_steps=0 epochs=200
LSTM;IBM;0;457,38616943359375;21,38658854127029;19,463966369628903;16,337402;8,99;70,55713176727295;LSTM (8,32,64) n_time_steps=0 epochs=200
LSTM;IBM;0;457,38037109375;21,3864529806546;19,46382141113281;16,33728;8,99;56,94618916511536;LSTM (8,32,32) n_time_steps=0 epochs=200
LSTM;IBM;0;457,3218688964844;21,38508519731648;19,46235656738281;16,336052;8,99;69,10225057601929;LSTM (8,32,100) n_time_steps=0 epochs=200
LSTM;canadian;0;1814454,125;1347,0167500814532;1214,0;312,78867;42,21;82,68480706214905;LSTM (8,8,8) n_time_steps=0 epochs=500
