model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
MLP;IBM Stock prices;1;10,017254363196272;3,1650046387321886;1,09675423861502;1,1146133384019232;0,56;4,70562744140625;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;2;15,060887941599656;3,880835984887748;1,4373238395387773;1,371378001950574;0,68;4,417569160461426;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;3;14,688661950348823;3,83257902075728;1,3756193354022344;1,359132336413086;0,68;4,905916452407837;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;5;19,29698380874981;4,392833232522015;1,5890222101175482;1,5650823882844582;0,78;4,373532295227051;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;4;20,75878605918744;4,556181082791534;1,7451199597328113;1,6551721250951654;0,83;4,637592315673828;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;8;26,396697583011733;5,137771655398061;2,0473874698587764;1,9383135809977832;0,97;7,235617399215698;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;15;28,73924846554052;5,36089996787298;2,240826319850896;2,018160944821817;1,01;4,2515952587127686;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;7;30,45806184338705;5,518882300193314;2,119625604464148;2,0440419315110843;1,02;3,221259355545044;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;6;31,64052705149832;5,624991293459779;2,1543688169938093;2,073745669976621;1,04;3,224323034286499;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;13;34,21024973163016;5,848952874799912;2,336922352744935;2,210854189022131;1,1;6,999240875244141;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;10;34,42105711655611;5,866946149109953;2,400325512467276;2,229490540319655;1,11;7,938737154006958;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;9;32,61622625666967;5,711061745128455;2,4234919212071304;2,246033592534546;1,12;3,7808046340942383;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;11;37,65395956998235;6,13628222704777;2,470416969037032;2,3043141421169344;1,15;3,362659454345703;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;12;34,517269290680126;5,875139937965744;2,5059469825148;2,327927584416544;1,16;6,500319242477417;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;16;43,39119624619851;6,587199423594106;2,630119108749909;2,4675669682936494;1,23;8,822823524475098;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;1;108,82195310275767;10,431776124071954;5,561066523351812;2,61370849497255;1,31;3,125645637512207;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;14;58,63881320611552;7,657598396763539;3,339968444643148;3,00378595688628;1,49;4,477957248687744;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;2;141,30216384571114;11,887058670912293;6,605164959784588;3,0283360691311394;1,52;3,50707745552063;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;17;68,93603695394714;8,302772847305118;3,380112977428439;3,1574271248144914;1,58;4,965508460998535;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;20;87,02194744191429;9,328555485278216;3,34643630578794;3,175098627586512;1,59;6,262067317962647;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;3;162,01869861737617;12,728656591226592;6,950068597444044;3,178522230353236;1,61;3,2211287021636963;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;22;63,16525004690244;7,947656890360985;3,63919194874714;3,291948884325725;1,63;5,542275667190552;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;19;80,6954522255527;8,983064745706372;3,97025968422723;3,528804878900321;1,76;4,613832235336304;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;23;83,719871827848;9,149856382908313;3,993819369409145;3,5922489749300346;1,79;3,689195871353149;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;4;220,6410921676986;14,853992465586437;8,065242728268174;3,802156177701949;1,9;2,830036163330078;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;24;83,36027824697602;9,13018500617463;4,3397198964922765;3,867685690525152;1,91;10,10445785522461;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;5;244,9255613655656;15,65009780690094;8,800254826509303;4,012433375897397;2,02;3,4162869453430176;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;8;246,73572192775268;15,7078235897833;9,001645468110056;4,0631155990995325;2,04;4,2445454597473145;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;21;115,88531955971249;10,765004391996897;5,005472998347656;4,340013633772282;2,15;3,489091634750366;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;15;299,58877039604823;17,308632828621914;9,861598617435844;4,509571988025451;2,26;3,330252885818481;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;22;321,1227266301515;17,919897506128528;10,260763708411218;4,718458959892715;2,37;3,4504635334014893;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;21;365,8826494223404;19,12805921734718;10,586215160795192;4,980477090642236;2,5;2,227825164794922;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;10;357,0104261931953;18,894719532006697;10,827359697320816;4,996194320219226;2,5;4,842896461486816;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;9;359,73158297338;18,96659123230582;11,97291585308325;5,057857939758114;2,54;2,4584341049194336;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;6;408,0262365473175;20,19965931760527;11,85422942384099;5,288986575543346;2,66;2,88977575302124;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;12;417,5022951639635;20,43287290529561;11,881907569206447;5,374974034297594;2,71;4,077191114425659;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;18;197,69144923654315;14,06027913081896;6,210197933177724;5,533046334856026;2,76;7,607211112976074;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;11;461,3993698276101;21,480208793855105;12,249992039910625;5,679230346777018;2,86;1,238074779510498;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;19;529,0906637673293;23,00197086702201;13,53298169522769;6,093393045585816;3,07;3,777604341506958;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;14;613,8216811205364;24,77542494328879;14,98820480653228;6,633924856683721;3,32;3,275174617767334;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;13;689,0577653084482;26,24990981524409;15,81886168292334;6,989087706049782;3,54;4,039093732833862;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;23;764,3504030202149;27,64688776372876;16,256577015246023;7,452674767860647;3,74;2,045793056488037;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;24;947,4347409697748;30,78042788802285;18,67788425953114;8,270292862842933;4,16;5,957223415374756;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;20;921,6119525959856;30,358062398578497;19,48229628878505;8,368614485078568;4,19;3,164799690246582;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;16;1026,347205076443;32,03665408678695;20,34594180874137;8,686331321176878;4,38;5,232674598693848;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;1;6241,149677637305;79,00094732113853;29,39099260321848;8,660112512544558;4,43;3,016547679901123;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;15;6533,067630987941;80,8273940628296;35,302152599570775;9,071363421465318;4,7;2,5324783325195312;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;24;7002,151326679146;83,67885830171888;31,884809855409003;9,183587940871394;4,74;3,947309017181397;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;19;7867,804244204722;88,70064398979706;39,775169455945615;9,96820556630728;4,92;1,7602181434631348;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;18;1269,5654756274337;35,63096231688717;22,35946471901667;9,813317203446566;4,94;4,4765825271606445;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;11;9396,427797528477;96,93517317015775;47,14983939166996;11,207016497453736;5,8;3,45881724357605;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;7;2532,7333035538886;50,32626852404108;28,65929512627245;12,20622149413822;6,02;2,5353939533233643;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;14;11335,060361799484;106,46624047931572;53,3817064021689;11,693249595229892;6,09;3,3320000171661377;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;4;12106,2236680489;110,02828576347493;55,342937042365065;12,55876423943116;6,27;3,131737232208252;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;5;12500,303633356196;111,80475675639296;58,37994501918399;12,809116689992267;6,4;3,1617355346679688;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;3;13506,351624685914;116,216830212693;52,11738075589278;12,862015077672485;6,46;3,589432716369629;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;12;13142,895563842843;114,64246841307477;54,3096430567131;13,691451846845784;6,52;3,1090610027313232;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;10;12452,258340281456;111,58968742801216;55,145588539399455;12,92531197119749;6,56;3,279996633529663;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;8;13042,957246461548;114,20576713310736;59,87163221481308;13,09494331694122;6,58;3,2984087467193604;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;22;12705,283540334718;112,71771617778067;60,121534383883045;13,09448628465602;6,66;3,229900360107422;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;17;13534,468729551492;116,33773562155784;60,96828400375108;13,33242510964089;6,79;2,543095111846924;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;7;14661,579966058764;121,0850113187374;62,790877372533146;13,856150736784564;6,92;1,124995231628418;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
