model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;IBM Stock prices;5;10,47692485278912;3,2368078183279776;1,113096188821558;1,1391454917830088;0,57;11,480037450790403;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;23;11,59356207564551;3,404932022176876;1,3645491552262;1,2509608798856966;0,63;16,1085205078125;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;IBM Stock prices;20;15,021778022184536;3,875793857029104;1,3526343891147974;1,3364294978471554;0,67;15,26434063911438;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;IBM Stock prices;2;12,140780980717649;3,4843623492279976;1,5480972950052632;1,3307177240147352;0,67;10,417391061782835;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;24;13,753384223438298;3,708555544068108;1,8733179387937184;1,5318411597265795;0,77;16,850889682769775;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;IBM Stock prices;1;14,404379321618224;3,7953101746258135;1,7980763037671466;1,5490572514746;0,78;10,104286670684814;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;8;23,115042318356085;4,807810553501051;1,7046895901175958;1,6512416938271663;0,82;11,886270761489868;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;4;13,425249329885911;3,6640482160973145;2,1402681023322927;1,6621336369161626;0,84;11,023236751556396;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;10;22,85601337567585;4,780796311879;1,980172359789826;1,7553081168804312;0,88;12,678743600845335;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;3;14,516036485822996;3,80999166479705;2,388721459476756;1,819858358692685;0,92;10,923994541168211;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
