Date,Open,High,Low,Close,Volume
1/2/1980 16:00:00,14.92,15.4,14.92,14.92,412000
1/3/1980 16:00:00,15.16,15.16,14.63,15.16,610300
1/4/1980 16:00:00,15.13,15.22,15.04,15.13,472800
1/7/1980 16:00:00,15.07,15.13,14.95,15.07,353900
1/8/1980 16:00:00,16.09,16.12,14.95,16.09,709400
1/9/1980 16:00:00,15.61,16.24,15.61,15.61,808000
1/10/1980 16:00:00,16.12,16.18,15.76,16.12,530400
1/11/1980 16:00:00,16,16.3,15.67,16,545000
1/14/1980 16:00:00,15.97,16.06,15.82,15.97,397700
1/15/1980 16:00:00,16.75,16.78,15.88,16.75,937500
1/16/1980 16:00:00,16.72,16.92,16.66,16.72,1502000
1/17/1980 16:00:00,16.54,16.8,16.54,16.54,613000
1/18/1980 16:00:00,16.63,16.66,16.39,16.63,653100
1/21/1980 16:00:00,16.48,16.69,16.48,16.48,372200
1/22/1980 16:00:00,16.48,16.69,16.48,16.48,422100
1/23/1980 16:00:00,17.01,17.01,16.48,17.01,530200
1/24/1980 16:00:00,16.86,17.07,16.75,16.86,547600
1/25/1980 16:00:00,16.75,16.89,16.69,16.75,335900
1/28/1980 16:00:00,16.95,17.19,16.75,16.95,364000
1/29/1980 16:00:00,16.8,17.04,16.57,16.8,357700
1/30/1980 16:00:00,16.8,16.86,16.63,16.8,347100
1/31/1980 16:00:00,16.39,16.98,16.3,16.39,586000
2/1/1980 16:00:00,16.57,16.6,16.33,16.57,361700
2/4/1980 16:00:00,16.51,16.63,16.39,16.51,288200
2/5/1980 16:00:00,16.63,16.63,16.42,16.63,381400
2/6/1980 16:00:00,16.33,16.48,16.18,16.33,509800
2/7/1980 16:00:00,16.03,16.3,16.03,16.03,512800
2/8/1980 16:00:00,16.06,16.15,15.82,16.06,628900
2/11/1980 16:00:00,15.94,16.12,15.88,15.94,397500
2/12/1980 16:00:00,16.45,16.45,15.85,16.45,387100
2/13/1980 16:00:00,16.57,16.83,16.54,16.57,807000
2/14/1980 16:00:00,16.27,16.78,16.27,16.27,480000
2/15/1980 16:00:00,16.15,16.24,16.03,16.15,582800
2/19/1980 16:00:00,16,16.18,15.85,16,449000
2/20/1980 16:00:00,16.06,16.18,16.03,16.06,266000
2/21/1980 16:00:00,15.82,16.03,15.73,15.82,359000
2/22/1980 16:00:00,15.76,15.82,15.64,15.76,456700
2/25/1980 16:00:00,15.55,15.73,15.49,15.55,543300
2/26/1980 16:00:00,15.52,15.61,15.43,15.52,528000
2/27/1980 16:00:00,14.81,15.55,14.81,14.81,688700
2/28/1980 16:00:00,15.13,15.28,14.83,15.13,689700
2/29/1980 16:00:00,15.16,15.22,15.04,15.16,652300
3/3/1980 16:00:00,14.98,15.16,14.95,14.98,340500
3/4/1980 16:00:00,15.1,15.13,14.86,15.1,447700
3/5/1980 16:00:00,14.81,15.07,14.75,14.81,458400
3/6/1980 16:00:00,14.6,14.86,14.48,14.6,687400
3/7/1980 16:00:00,14.57,14.78,14.54,14.57,625300
3/10/1980 16:00:00,14.72,14.86,14.6,14.72,491300
3/11/1980 16:00:00,14.86,14.86,14.69,14.86,502300
3/12/1980 16:00:00,14.66,14.83,14.54,14.66,495600
3/13/1980 16:00:00,14.36,14.63,14.3,14.36,561000
3/14/1980 16:00:00,14.3,14.51,14.24,14.3,485900
3/17/1980 16:00:00,14.12,14.42,14.12,14.12,414700
3/18/1980 16:00:00,14.24,14.39,14,14.24,493600
3/19/1980 16:00:00,14.06,14.27,14.03,14.06,368500
3/20/1980 16:00:00,13.91,14.15,13.85,13.91,479300
3/21/1980 16:00:00,13.55,13.88,13.43,13.55,1480000
3/24/1980 16:00:00,12.92,13.46,12.89,12.92,719800
