Date,Open,High,Low,Close,Volume
6/29/2010 16:00:00,1.27,1.67,1.17,1.59,18783276
6/30/2010 16:00:00,1.73,2.03,1.55,1.59,17194394
7/1/2010 16:00:00,1.67,1.73,1.35,1.46,8229863
7/2/2010 16:00:00,1.53,1.54,1.25,1.28,5141807
7/6/2010 16:00:00,1.33,1.33,1.06,1.07,6879296
7/7/2010 16:00:00,1.09,1.11,1,1.05,6924914
7/8/2010 16:00:00,1.08,1.17,1.04,1.16,7719539
7/9/2010 16:00:00,1.17,1.19,1.1,1.16,4058606
7/12/2010 16:00:00,1.2,1.2,1.13,1.14,2203570
7/13/2010 16:00:00,1.17,1.24,1.13,1.21,2680060
7/14/2010 16:00:00,1.2,1.34,1.18,1.32,4196110
7/15/2010 16:00:00,1.33,1.43,1.27,1.33,3745297
7/16/2010 16:00:00,1.38,1.42,1.34,1.38,2621210
7/19/2010 16:00:00,1.42,1.48,1.39,1.46,2486489
7/20/2010 16:00:00,1.46,1.46,1.34,1.35,1825231
7/21/2010 16:00:00,1.38,1.39,1.3,1.35,1253442
7/22/2010 16:00:00,1.37,1.42,1.36,1.4,962345
7/23/2010 16:00:00,1.41,1.44,1.4,1.42,654049
7/26/2010 16:00:00,1.43,1.43,1.35,1.4,896280
7/27/2010 16:00:00,1.39,1.41,1.35,1.37,619675
7/28/2010 16:00:00,1.37,1.39,1.37,1.38,467183
7/29/2010 16:00:00,1.38,1.39,1.33,1.36,615910
7/30/2010 16:00:00,1.35,1.36,1.3,1.33,426830
8/2/2010 16:00:00,1.36,1.4,1.36,1.39,719145
8/3/2010 16:00:00,1.4,1.46,1.39,1.46,1231023
8/4/2010 16:00:00,1.46,1.48,1.39,1.42,920756
8/5/2010 16:00:00,1.44,1.44,1.34,1.36,796380
8/6/2010 16:00:00,1.34,1.34,1.3,1.31,742138
8/9/2010 16:00:00,1.33,1.33,1.3,1.31,812656
8/10/2010 16:00:00,1.31,1.31,1.25,1.27,1281286
8/11/2010 16:00:00,1.25,1.26,1.19,1.19,797650
8/12/2010 16:00:00,1.19,1.19,1.16,1.17,691281
8/13/2010 16:00:00,1.21,1.23,1.18,1.22,634513
8/16/2010 16:00:00,1.23,1.25,1.22,1.25,486211
8/17/2010 16:00:00,1.26,1.29,1.25,1.28,447881
8/18/2010 16:00:00,1.31,1.31,1.24,1.25,601332
8/19/2010 16:00:00,1.24,1.28,1.22,1.25,579082
8/20/2010 16:00:00,1.24,1.27,1.23,1.27,297499
8/23/2010 16:00:00,1.27,1.36,1.27,1.34,1088029
8/24/2010 16:00:00,1.29,1.31,1.26,1.28,673074
8/25/2010 16:00:00,1.28,1.33,1.24,1.33,503289
8/26/2010 16:00:00,1.33,1.35,1.31,1.32,433736
8/27/2010 16:00:00,1.32,1.32,1.3,1.31,379642
8/30/2010 16:00:00,1.31,1.35,1.31,1.32,732731
8/31/2010 16:00:00,1.31,1.32,1.29,1.3,201012
9/1/2010 16:00:00,1.31,1.38,1.31,1.36,495685
