strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100010101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010106,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010107,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010108,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010109,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010205,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010206,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010207,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010208,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010312,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010313,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010402,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010504,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010505,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010506,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010507,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010508,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010509,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010601,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010602,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
