Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;1;62.632823867750844;7.914090210993987;6.210633504487788;4.878218741577261;2.46;25.17059326171875
IBM; ARIMA(1,0,1)(0,0,0)[12] intercept;2;60.12862061946668;7.754264673034232;6.40506440521041;4.895886249518261;2.44;120.25006794929504
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;3;63.092052594309;7.943050584901811;6.251938267758021;4.898410206740457;2.47;77.57924056053162
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;4;63.323308821940905;7.957594411751638;6.274997711181641;4.907333882019356;2.48;78.34026575088501
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;5;63.54603942602723;7.971576972345386;6.264176021086001;4.914829443439469;2.48;62.833900451660156
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;6;63.78835278408587;7.986761094717049;6.2649993896484375;4.9249431611846815;2.49;80.52767300605774
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;7;64.04819534785159;8.003011642366365;6.30360255471831;4.940450227675895;2.49;111.29157209396362
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;8;64.30410040999162;8.018983751697693;6.314998626708984;4.952581301525184;2.5;79.90966582298279
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;9;64.51722434140426;8.032261471180098;6.344363799844331;4.9595695940564095;2.5;91.75285577774048
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;10;64.70479149421716;8.043928859345858;6.364997863769531;4.964719125214416;2.51;119.9711046218872
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;11;64.84209530151445;8.05245895993978;6.345889763544051;4.966752880275696;2.51;136.67911648750305
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;12;64.98707795174937;8.06145631705273;6.3300018310546875;4.969150971850623;2.51;166.87002515792847
