Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;1;437.4720247427163;20.91583191610404;18.95917631319665;15.914406519898417;8.74;15.088876008987427
IBM; ARIMA(1,0,1)(0,0,0)[12] intercept;2;325.59794832267517;18.044332858897143;14.453198876904466;12.654723797046433;6.89;44.577834367752075
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;3;439.0000112310561;20.95232710777149;18.98832824130301;15.937733119811758;8.75;23.39579439163208
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;4;440.1030116746878;20.978632264156015;19.06382219629424;15.95812670173663;8.76;29.006713151931763
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;5;441.26826601845465;21.00638631508177;19.13969570531178;15.980337395420907;8.78;34.67583465576172
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;6;442.3457917550962;21.03201825206264;19.182710060282055;15.999848072334977;8.79;28.4622220993042
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;7;443.2331029698294;21.053101979751805;19.224813150801822;16.014051184098534;8.8;36.749271631240845
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;8;443.98585067613624;21.070971754433543;19.26193002885305;16.024808163115033;8.8;41.863401651382446
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;9;444.529350045386;21.083864684762755;19.29915024394596;16.031139251719292;8.81;44.581618785858154
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;10;444.97167620435675;21.094351760704967;19.308513281845684;16.035465380905976;8.81;65.0418701171875
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;11;445.2775284833633;21.101600140353415;19.30919873560424;16.03739798081634;8.81;61.88706636428833
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;12;445.59866200208273;21.109207990876463;19.282403440841527;16.03952871678971;8.81;60.1066210269928
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;13;445.8487649430866;21.11513118460519;19.256022277615443;16.04051378702316;8.81;63.734947204589844
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;14;445.82319731964236;21.114525742238264;19.22492332049341;16.037532598977496;8.81;62.26718521118164
IBM; ARIMA(0,0,0)(0,0,0)[12] intercept;15;445.86692967531565;21.115561315658073;19.194447460344932;16.03569221497766;8.81;62.59408378601074
