Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
TSLA; ARIMA(0,1,0)(0,0,0)[12]          ;0;19247.982626342073;138.73709895461297;72.48999999999998;31.166425059530606;19.8;0.5447118282318115
TSLA; ARIMA(2,1,2)(2,0,0)[12] intercept;1;13438.674803525944;115.92529837583315;63.10828338242007;26.208661959266482;15.76;119.13206148147583
TSLA; ARIMA(1,1,2)(2,0,0)[12] intercept;2;13498.267940232636;116.18204654864984;63.648092732736345;26.28625687831874;15.82;116.84839630126953
TSLA; ARIMA(1,1,0)(2,0,0)[12]          ;3;19740.689049324737;140.50156244442528;74.70907627619812;31.659879119474404;20.21;121.48276948928833
TSLA; ARIMA(0,1,0)(2,0,0)[12]          ;4;19791.108811659982;140.68087578509022;74.9660850552306;31.720625289462618;20.25;62.396517515182495
TSLA; ARIMA(0,1,0)(2,0,0)[12]          ;5;19815.446128961532;140.76734752406728;75.1010561072896;31.75040153664356;20.27;77.42155480384827
TSLA; ARIMA(0,1,1)(2,0,1)[12] intercept;6;13665.912055818868;116.90129193391691;64.76490595288973;26.502321684090784;15.97;62.28762173652649
TSLA; ARIMA(0,1,1)(2,0,1)[12] intercept;7;13691.240683185468;117.00957517735661;64.86115892606185;26.542191427750804;16.0;58.617696046829224
TSLA; ARIMA(2,1,0)(2,0,0)[12] intercept;8;13721.512294646893;117.13885902913213;64.95747452223434;26.586343443779388;16.03;110.65168976783752
TSLA; ARIMA(1,1,0)(2,0,0)[12] intercept;9;13748.11119541067;117.25233982915083;65.00203537900987;26.62690618313221;16.05;58.709986209869385
TSLA; ARIMA(0,1,1)(2,0,0)[12] intercept;10;13777.129319529951;117.37601679870531;65.11836948079734;26.66944465285239;16.08;112.8485198020935
TSLA; ARIMA(0,1,0)(2,0,0)[12]          ;11;19965.888065342755;141.30070086642442;75.46097861382637;31.97924504903073;20.42;81.17817187309265
TSLA; ARIMA(0,1,0)(1,0,0)[12] intercept;12;13317.189869771319;115.40012941834736;62.85804145370187;26.24584407150406;15.72;100.20129752159119
TSLA; ARIMA(1,1,1)(1,0,0)[12] intercept;13;13316.406007594613;115.39673308891639;62.88159234327412;26.258839018180645;15.73;197.4333951473236
TSLA; ARIMA(0,1,0)(1,0,0)[12] intercept;14;13365.861078760905;115.61081730859317;63.25235793997993;26.319951218376826;15.77;142.41092491149902
TSLA; ARIMA(1,1,0)(2,0,0)[12] intercept;15;13921.001472965198;117.98729369285998;66.0180782791557;26.883565710701614;16.22;87.33090448379517
TSLA; ARIMA(1,1,0)(2,0,0)[12] intercept;16;13948.264585704996;118.10277128715056;66.1738814781493;26.924878571425708;16.25;83.05268716812134
TSLA; ARIMA(1,1,0)(1,0,0)[12] intercept;17;13386.693147298694;115.7008779020224;63.321417004339395;26.38072740607733;15.81;68.24262475967407
TSLA; ARIMA(0,1,0)(1,0,0)[12] intercept;18;13466.296914009557;116.04437476245695;63.645205602925984;26.45146721710437;15.86;138.71630859375
TSLA; ARIMA(1,1,0)(1,0,0)[12] intercept;19;13434.045231905691;115.90532874680824;63.595039202407776;26.421640585933925;15.84;51.40807795524597
TSLA; ARIMA(1,1,0)(1,0,0)[12] intercept;20;13458.392291567083;116.01031114330779;63.659799957205536;26.441494126704423;15.86;55.216548919677734
TSLA; ARIMA(1,1,0)(1,0,0)[12] intercept;21;13481.952863454855;116.11181190324632;63.709955862696035;26.459056416864556;15.87;64.18259406089783
TSLA; ARIMA(1,1,0)(2,0,0)[12] intercept;22;14096.615846375105;118.72917015786435;66.93620839072089;27.065870967596734;16.36;104.86150741577148
TSLA; ARIMA(0,1,0)(1,0,1)[12] intercept;23;13469.92540107503;116.06000775924078;63.776757508383696;26.419310631487527;15.85;64.54166626930237
TSLA; ARIMA(0,1,0)(2,0,1)[12] intercept;24;14159.183679528513;118.99236815665327;67.1199249674424;27.125970713423026;16.41;99.75393986701965
