Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
c.lynx; ARIMA(2,0,1)(0,0,2)[12] intercept;1;1133072.4484493842;1064.458758453978;768.2678431379995;168.43986123755008;33.61;55.35192346572876
c.lynx; ARIMA(0,0,0)(0,0,0)[12] intercept;2;1649468.7508611828;1284.3164527721285;1141.662921348315;326.4721686645134;42.14;10.281720638275146
c.lynx; ARIMA(0,0,0)(1,0,1)[12] intercept;3;771588.6454011692;878.40118704449;781.5366609295723;208.7007715702522;33.03;58.24079632759094
c.lynx; ARIMA(0,0,0)(0,0,1)[12] intercept;4;1402221.6947605673;1184.1544218388779;998.7606220319631;290.932313435485;46.98;32.38034224510193
c.lynx; ARIMA(0,0,0)(0,0,0)[12] intercept;5;1387238.9179135873;1177.8110705514646;1086.0;376.86791066320586;43.08;11.861447095870972
c.lynx; ARIMA(0,0,1)(0,0,0)[12] intercept;6;1436029.3216437092;1198.3444086086893;1122.568985738107;394.5667802589393;43.37;23.661334991455078
c.lynx; ARIMA(1,0,0)(0,0,0)[12]          ;7;2682262.073128811;1637.761299191311;1029.011726866359;219.90660147276654;60.82;49.41623854637146
c.lynx; ARIMA(0,0,0)(0,0,0)[12]          ;8;3616219.933333333;1901.63612011692;1132.0;100.0;100.0;12.486278772354126
c.lynx; ARIMA(0,0,0)(0,0,0)[12]          ;9;3873688.214285714;1968.1687463949106;1334.5;100.0;100.0;13.217244148254395
c.lynx; ARIMA(0,0,0)(0,0,0)[12]          ;10;4167630.3076923075;2041.47748155406;1537.0;100.0;100.0;36.945889711380005
c.lynx; ARIMA(0,0,0)(0,0,0)[12]          ;11;4501666.083333333;2121.713006825695;1563.5;100.0;100.0;24.61217188835144
c.lynx; ARIMA(0,0,1)(0,0,0)[12] intercept;12;1441240.4490819054;1200.516742524612;893.3000222703242;70.83806610147177;30.17;108.416574716568
