Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
sunspot; ARIMA(1,0,1)(0,0,1)[12] intercept;1;4624.788346355728;68.0057964173329;56.31622678790825;inf;38.55;102.87830090522766
sunspot; ARIMA(0,0,2)(0,0,2)[12] intercept;2;4642.294679714798;68.13438691083084;54.079526478196186;inf;38.66;184.1234745979309
sunspot; ARIMA(0,0,1)(0,0,2)[12] intercept;3;4635.7397965210275;68.08626731229307;54.04138180409343;inf;38.63;86.6391327381134
sunspot; ARIMA(0,0,1)(0,0,2)[12] intercept;4;4636.136529497015;68.0891807080759;53.94263844820651;inf;38.66;95.51510310173035
sunspot; ARIMA(1,0,0)(1,0,0)[12] intercept;5;4617.372672547005;67.951252177918;53.719179237150826;inf;38.56;55.14738583564758
sunspot; ARIMA(0,0,0)(1,0,1)[12] intercept;6;4634.840040606703;68.07965952181829;55.44767466922721;inf;38.66;70.94050288200378
sunspot; ARIMA(0,0,0)(1,0,1)[12] intercept;7;4639.625097810649;68.11479353129282;55.64659257405752;inf;38.73;89.76031756401062
sunspot; ARIMA(1,0,0)(1,0,0)[12] intercept;8;4624.917066465654;68.00674280147267;53.88718441953395;inf;38.65;149.25015664100647
sunspot; ARIMA(0,0,1)(0,0,1)[12] intercept;9;4665.475446082453;68.30428570801728;54.150000000000006;inf;38.94;160.93807005882263
sunspot; ARIMA(1,0,0)(1,0,0)[12] intercept;10;4632.079947046224;68.05938544422969;53.90823016234016;inf;38.73;185.28786277770996
sunspot; ARIMA(0,0,1)(0,0,1)[12] intercept;11;4673.666373369888;68.3642185164863;53.75000000000001;inf;38.98;288.2929263114929
sunspot; ARIMA(0,0,1)(0,0,1)[12] intercept;12;4673.893716529145;68.36588123127753;54.03412177636375;inf;39.0;228.72605538368225
