Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM;LSTM (8,18,8) n_time_steps=1 epochs=100;1;766.654952467458;27.68853467533914;26.8228759765625;20.85456585327278;11.65;2176.0227727890015
IBM;LSTM (8,18,8) n_time_steps=2 epochs=100;2;14.500916532318419;3.8080068976195958;2.923004150390625;2.5041577433305475;1.27;2605.6125028133392
IBM;LSTM (8,18,8) n_time_steps=3 epochs=100;3;8.410945259267464;2.900162971156529;2.1505508422851562;1.8692699377435131;0.94;2550.0556733608246
IBM;LSTM (8,18,8) n_time_steps=4 epochs=100;4;12.664593021501787;3.558734750090513;2.75;2.2734227191008523;1.15;3352.0829622745514
IBM;LSTM (8,18,8) n_time_steps=5 epochs=100;5;19.575585933673818;4.424430577336909;3.6826095581054688;2.730379630727542;1.39;2968.4114055633545
IBM;LSTM (8,18,8) n_time_steps=6 epochs=100;6;27.138293712593924;5.209442744919453;5.3011016845703125;3.3250986116241847;1.7;1965.6482424736023
IBM;LSTM (8,18,8) n_time_steps=7 epochs=100;7;37.13898500105521;6.0941763185073015;6.32861328125;4.2001959365733095;2.15;2485.0052716732025
IBM;LSTM (8,18,8) n_time_steps=8 epochs=100;8;54.825031784673534;7.404392735712601;7.0923919677734375;5.133753984615194;2.64;2538.1642100811005
IBM;LSTM (8,18,8) n_time_steps=9 epochs=100;9;67.96995571507917;8.244389347615696;7.5018768310546875;5.724060278078302;2.95;1945.955323457718
IBM;LSTM (8,18,8) n_time_steps=10 epochs=100;10;79.15926570227991;8.897149302011286;8.775779724121094;6.211568471773699;3.21;2143.1487460136414
IBM;LSTM (8,18,8) n_time_steps=11 epochs=100;11;79.79024947042733;8.93253880318621;8.743431091308594;6.242770605950972;3.22;2367.2641677856445
IBM;LSTM (8,18,8) n_time_steps=12 epochs=100;12;76.80866593553219;8.764055336174698;8.768539428710938;6.071079933475745;3.13;2486.28653049469
