Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
TSLA;LSTM (88,88,98) n_time_steps=1 epochs=100;1;45964.805937724836;214.39404361531325;216.09769439697266;91.92419790957501;85.06;701.099692106247
TSLA;LSTM (88,88,98) n_time_steps=2 epochs=100;2;15155.642824847586;123.10825652590319;124.9817886352539;52.55823928168426;35.69;731.8308744430542
TSLA;LSTM (88,88,98) n_time_steps=3 epochs=100;3;8866.310933316467;94.16109033627673;95.7288589477539;39.95110760231096;25.02;870.6625938415527
TSLA;LSTM (88,88,98) n_time_steps=4 epochs=100;4;55742.05878902863;236.09756201415684;237.70614981651306;101.24203218954422;100.0;1090.2522344589233
TSLA;LSTM (88,88,98) n_time_steps=5 epochs=100;5;1266.5748042726482;35.588970261481975;35.44207763671875;13.852376172877348;7.52;1004.649252653122
TSLA;LSTM (88,88,98) n_time_steps=6 epochs=100;6;4783.266423940542;69.16116268499643;69.82866668701172;28.774195733335034;16.87;1037.6838903427124
TSLA;LSTM (88,88,98) n_time_steps=7 epochs=100;7;5123.814106140936;71.5808221952007;71.78274536132812;29.8526605832992;17.6;1152.692818403244
TSLA;LSTM (88,88,98) n_time_steps=8 epochs=100;8;35007.5838322181;187.10313688502953;187.64697074890137;79.27914352911675;65.68;1407.9736392498016
TSLA;LSTM (88,88,98) n_time_steps=9 epochs=100;9;20567.4196133541;143.41345687680115;143.03274154663086;60.815156416718985;43.72;1703.0036511421204
TSLA;LSTM (88,88,98) n_time_steps=10 epochs=100;10;4439.625800869476;66.63051703888749;66.50774383544922;28.017250699960172;16.33;1309.5170884132385
TSLA;LSTM (88,88,98) n_time_steps=11 epochs=100;11;1144.7464679681482;33.83410214514563;33.518211364746094;13.737773169970973;7.42;1451.3166344165802
TSLA;LSTM (88,88,98) n_time_steps=12 epochs=100;12;9643.753058424414;98.2026122790245;98.9577407836914;41.88237143859116;26.52;1534.6175088882446
