Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
c.lynx;LSTM (88,88,88) n_time_steps=1 epochs=100;1;7525965.919087246;2743.349397923503;2947.046432495117;81.3351426945413;76.84;110.84691071510315
c.lynx;LSTM (88,88,88) n_time_steps=2 epochs=100;2;5152045.899627118;2269.8118643683047;1714.4157104492188;76.3741283575502;64.28;101.43463253974915
c.lynx;LSTM (88,88,88) n_time_steps=3 epochs=100;3;3671025.557062572;1915.9920555844099;297.0;62.565198464926155;49.68;112.23868155479431
c.lynx;LSTM (88,88,88) n_time_steps=4 epochs=100;4;2303348.611908018;1517.6786919200051;74.50000381469727;54.38330805248387;39.58;131.7504539489746
c.lynx;LSTM (88,88,88) n_time_steps=5 epochs=100;5;67190.5330755303;259.211367566182;74.5;50.684799893656376;33.13;143.1646740436554
c.lynx;LSTM (88,88,88) n_time_steps=6 epochs=100;6;186373.6165415697;431.7101070644162;74.5;52.51080767360712;35.05;155.46268773078918
c.lynx;LSTM (88,88,88) n_time_steps=7 epochs=100;7;1090123.823487162;1044.0899499023835;204.804443359375;58.069046179179736;47.04;154.30920672416687
c.lynx;LSTM (88,88,88) n_time_steps=8 epochs=100;8;3093075.019242653;1758.7140242923672;657.2522659301758;68.131270030344;60.23;164.08007717132568
c.lynx;LSTM (88,88,88) n_time_steps=9 epochs=100;9;4423648.915595134;2103.247231210619;1673.3997955322266;84.09338533535995;75.63;177.23985719680786
c.lynx;LSTM (88,88,88) n_time_steps=10 epochs=100;10;4749342.417701458;2179.298606823181;1872.7420043945312;90.55277205882895;83.75;191.15282440185547
c.lynx;LSTM (88,88,88) n_time_steps=11 epochs=100;11;4762158.520032884;2182.2370448768584;1872.1016006469727;91.65241879979972;85.16;204.35577082633972
c.lynx;LSTM (88,88,88) n_time_steps=12 epochs=100;12;4612579.086091743;2147.691571453346;1872.2531471252441;89.4590270927793;81.92;215.9894299507141
