Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
sunspot;LSTM (90,90,90) n_time_steps=1 epochs=100;1;436.99043052452276;20.90431607406764;11.405146789550784;9.982162485547093;5.29;364.58464074134827
sunspot;LSTM (90,90,90) n_time_steps=2 epochs=100;2;307.1652169754714;17.52612954920371;11.25103302001952;9.188267756200135;4.63;338.9168629646301
sunspot;LSTM (90,90,90) n_time_steps=3 epochs=100;3;393.6204826469891;19.839871034031173;11.01046600341796;10.74766341002839;5.43;304.96568727493286
sunspot;LSTM (90,90,90) n_time_steps=4 epochs=100;4;339.81689053296276;18.434122993323083;11.163575744628915;9.980024611936107;4.97;394.09912633895874
sunspot;LSTM (90,90,90) n_time_steps=5 epochs=100;5;381.6431555482596;19.53568927753151;15.265326690673824;11.154613447941175;5.52;426.7145662307739
sunspot;LSTM (90,90,90) n_time_steps=6 epochs=100;6;700.4390086570314;26.465808294042926;17.86632537841797;15.308530906991571;6.63;505.2708730697632
sunspot;LSTM (90,90,90) n_time_steps=7 epochs=100;7;451.68426103652547;21.252864772461276;18.981419372558605;14.0989554550782;6.6;539.1726613044739
sunspot;LSTM (90,90,90) n_time_steps=8 epochs=100;8;289.5285269452325;17.015537809462046;14.055587768554688;11.188978009791532;5.39;641.697084903717
sunspot;LSTM (90,90,90) n_time_steps=9 epochs=100;9;460.39186294427935;21.45674399680155;13.75633697509766;15.02633924747905;7.01;801.2323920726776
sunspot;LSTM (90,90,90) n_time_steps=10 epochs=100;10;434.1025289271624;20.835127283680375;13.649939727783199;14.171990958166766;6.69;844.7791774272919
sunspot;LSTM (90,90,90) n_time_steps=11 epochs=100;11;433.155787061135;20.81239503423705;14.405877685546884;14.148994791495117;6.57;1035.6890966892242
sunspot;LSTM (90,90,90) n_time_steps=12 epochs=100;12;799.7418853824596;28.279708014448445;19.643156433105467;20.0923049748328;9.46;921.3835899829865
