Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};0;10517.37633151831;102.55426042597308;67.62784720322588;52.17303631819672;36.13;7.859074831008911
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;10.017254363196272;3.1650046387321886;1.09675423861502;1.1146133384019232;0.56;4.70562744140625
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};2;15.060887941599656;3.880835984887748;1.4373238395387773;1.371378001950574;0.68;4.417569160461426
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;14.688661950348825;3.8325790207572794;1.3756193354022344;1.359132336413086;0.68;4.905916452407837
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;20.758786059187436;4.556181082791534;1.7451199597328113;1.6551721250951654;0.83;4.637592315673828
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};5;19.296983808749818;4.392833232522015;1.5890222101175482;1.5650823882844582;0.78;4.373532295227051
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};6;31.640527051498317;5.624991293459779;2.1543688169938093;2.073745669976621;1.04;3.224323034286499
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};7;30.45806184338705;5.518882300193314;2.1196256044641473;2.0440419315110843;1.02;3.221259355545044
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};8;26.396697583011733;5.137771655398061;2.0473874698587764;1.9383135809977832;0.97;7.235617399215698
IBM;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};9;32.61622625666967;5.711061745128455;2.4234919212071304;2.246033592534546;1.12;3.7808046340942383
IBM;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};10;34.42105711655611;5.866946149109953;2.400325512467276;2.229490540319655;1.11;7.938737154006958
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};11;37.65395956998235;6.13628222704777;2.470416969037032;2.3043141421169344;1.15;3.362659454345703
IBM;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};12;34.517269290680126;5.875139937965744;2.5059469825148;2.327927584416544;1.16;6.500319242477417
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};13;34.21024973163016;5.848952874799912;2.336922352744935;2.210854189022131;1.1;6.999240875244141
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};14;58.63881320611552;7.657598396763539;3.339968444643148;3.0037859568862797;1.49;4.477957248687744
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};15;28.739248465540516;5.36089996787298;2.240826319850896;2.018160944821817;1.01;4.2515952587127686
IBM;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};16;43.39119624619851;6.587199423594106;2.630119108749909;2.4675669682936494;1.23;8.822823524475098
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};17;68.93603695394714;8.302772847305118;3.380112977428439;3.1574271248144914;1.58;4.965508460998535
IBM;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};18;197.69144923654315;14.060279130818959;6.210197933177724;5.533046334856026;2.76;7.607211112976074
IBM;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};19;80.6954522255527;8.983064745706372;3.97025968422723;3.5288048789003215;1.76;4.613832235336304
IBM;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};20;87.02194744191429;9.328555485278216;3.3464363057879396;3.175098627586512;1.59;6.2620673179626465
