Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);0;2623.420913287411;51.21934120317648;37.1170101898295;27.078434864955902;12.8;125.38516974449158
IBM;STL(period=12)_ARIMA((1, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);1;2689.7877950211578;51.86316414393898;49.97169837929215;32.70037357091143;14.04;200.0019245147705
IBM;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);2;2761.5440852546417;52.55039567172298;50.83736209997227;33.32222724638647;14.24;375.9215648174286
IBM;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);3;2620.213914242643;51.188025105903854;48.7733742082344;32.006358008321875;13.81;334.3438663482666
IBM;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);4;2657.893387218913;51.5547610528738;49.268346913667756;32.336522342574405;13.92;396.86573934555054
IBM;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);5;2670.9180702764243;51.68092559423084;49.27485952126601;32.457650766884996;13.96;471.4052822589874
IBM;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);6;2654.086790570945;51.5178298317286;49.30560123761752;32.36867382051629;13.91;581.9870238304138
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);7;2697.9926950430045;51.94220533480461;49.79855915584986;32.76552861689673;14.04;700.833328962326
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);8;2736.066655783665;52.30742448050434;50.156433836918325;32.997795763735766;14.13;680.1837158203125
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);9;2743.584431910133;52.37923664879179;50.24790583052149;33.079493477213546;14.15;628.538060426712
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);10;2779.1810191670097;52.717938305353044;50.72735658782048;33.29685245366929;14.23;724.6753830909729
IBM;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 125550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);11;2758.4121031143254;52.520587421641864;50.5036118623631;33.2370743147347;14.18;913.6565334796906
