Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);0;19262.38597236567;138.7889980234949;65.75404734484275;30.87544574268361;19.74;68.50128889083862
TSLA;STL(period=12)_ARIMA((0, 1, 1))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);1;21279.46923792748;145.87484100394926;74.85359116216196;32.95704050127438;21.43;86.42240524291992
TSLA;STL(period=12)_ARIMA((1, 1, 4))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);2;15386.203527432512;124.0411364323647;70.55843454100841;28.150496164136907;17.41;142.88752007484436
TSLA;STL(period=12)_ARIMA((2, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);3;20510.064093338133;143.21335165876866;74.23084102386336;32.231664992626676;20.82;157.8794229030609
TSLA;STL(period=12)_ARIMA((3, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);4;20403.04060557075;142.83921242281738;75.14847975103015;32.11498401634506;20.72;179.74059796333313
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);5;20005.612929412942;141.4411995474195;75.34895350737011;31.733244332754968;20.41;131.29311680793762
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);6;19969.423698243918;141.31321133653398;75.19320293228799;31.733680185403685;20.38;124.14824962615967
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);7;20057.427655637297;141.6242481202894;76.82464920711843;31.87160117783599;20.49;169.67600536346436
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);8;19702.32564001124;140.36497298119372;72.12682864486848;31.474290276308842;20.18;169.64463353157043
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);9;19425.504760316264;139.37540945344793;73.986807494947;31.248049234597925;19.98;170.9309413433075
TSLA;STL(period=12)_ARIMA((0, 1, 0))_SVR({'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);10;19206.74262803245;138.58839283299469;74.16280914352288;31.052134173088362;19.83;177.39670825004578
TSLA;STL(period=12)_ARIMA((1, 1, 0))_SVR({'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'})_LSTM(LSTM(8,18,8)_epochs=200);11;13415.02211060585;115.82323648821877;61.377740584062664;26.21688291180513;15.78;236.96110701560974
