Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
TSLA;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'};0;83858.13694993765;289.5826944931925;243.67999999999998;92.79627006545806;86.64;3.7529799938201904
TSLA;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};1;108.53675393698423;10.418097424049375;5.3688726604019905;2.614330852149643;1.31;1.645331859588623
TSLA;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};2;110.2706840949115;10.500984910707734;5.5164049717363355;2.629746542508364;1.32;1.7781078815460205
TSLA;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};3;168.03144337496005;12.962694294588609;6.925113676594009;3.2350071754076377;1.62;1.7903697490692139
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'};4;130.38218299538624;11.418501784182821;6.043631147465362;2.8844217851230676;1.45;1.733041763305664
TSLA;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};5;116.15806459616135;10.77766508090511;5.603833544179338;2.6886284104813947;1.34;1.9468955993652344
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};6;110.47905874152177;10.510901899528973;5.452449926063139;2.630467768530229;1.32;2.0923335552215576
TSLA;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};7;938.6668172649155;30.63766990593305;14.748368421591763;7.044366706085942;3.47;2.0682172775268555
TSLA;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};8;265.9364963351825;16.30755948433678;10.934624279940707;4.601635035591402;2.36;2.1621310710906982
TSLA;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};9;5087.478930971711;71.32656539447073;30.820600909539408;15.317140213808973;7.23;3.055964469909668
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};10;120.64154929249875;10.98369470135158;5.874591874339458;2.7750106554577467;1.4;2.573025941848755
TSLA;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};11;116.67885852702828;10.801798856071533;5.93305639652327;2.7266705499394406;1.37;2.1614012718200684
TSLA;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};12;501.6780596753937;22.398170900218474;18.620036692405392;6.935031395464588;3.62;2.3293609619140625
TSLA;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};13;2713.10088394144;52.08743499099797;24.564558957251904;12.004212291500059;5.86;2.363687515258789
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};14;178.89587214420857;13.375196153485323;7.293807945842161;3.3512502008270078;1.71;2.3574111461639404
TSLA;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};15;121.94015823897662;11.042651775682172;6.182008123399669;2.827724502917074;1.43;2.4622902870178223
TSLA;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};16;1504.0660938144424;38.782290982024804;23.874084866798142;10.142079158309167;5.1;2.4443600177764893
TSLA;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};17;175.09982550222355;13.232529066743952;7.548242275066187;3.4084216069949456;1.74;2.267194986343384
TSLA;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};18;1273.7292728799414;35.68934396819226;22.407032901717827;9.085256086202008;4.57;2.446298599243164
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};19;126.50537294195252;11.247460733070044;6.221329849947338;2.859418277328172;1.44;2.4571352005004883
TSLA;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};20;182.07599421474907;13.493553802269775;6.893172800981773;3.2227722361297624;1.6;3.025096893310547
TSLA;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};21;122.69516688068954;11.076785042632611;6.303405847970083;2.850786530688163;1.44;2.8991498947143555
TSLA;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};22;205.2792141020648;14.327568324808812;7.324414402114712;3.384725480563429;1.68;2.442457675933838
TSLA;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};23;148.7919283244107;12.198029690257796;6.512069128536126;3.022601795897027;1.51;2.505861520767212
TSLA;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};24;269.9005518615983;16.428650335970946;8.19658830907062;3.8064995159144757;1.88;2.7487409114837646
