Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'};0;2751586.3402701495;1658.7906258084984;805.1275539643952;153.8099131470031;47.29;3.60174560546875
c.lynx;{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'};1;1111000.6677106898;1054.0401641828882;617.8490207827884;100.98571616036422;30.49;0.11167693138122559
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'};2;773734.3388828897;879.6217021441033;393.9593878376174;153.78061385037307;27.41;0.10164761543273926
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'};3;726960.0349085802;852.6195135631017;356.2049179377583;111.89994981181606;25.32;0.10705304145812988
c.lynx;{'C': 1255555, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};4;666938.4625145787;816.6630042524142;387.2193930350092;184.79042521871833;30.02;0.11445498466491699
c.lynx;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'};5;572646.4037002992;756.7340376250424;483.6570314774342;117.72677622688508;25.13;0.11501526832580566
c.lynx;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'};6;2613572.2593008727;1616.6546505982262;682.1021859602834;145.54344375996897;45.41;0.11438417434692383
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'};7;722638.3932610301;850.0814039026087;456.3686365601866;135.98420955474134;27.85;0.11895442008972168
c.lynx;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'};8;617076.7589022398;785.5423342521012;480.0581029770128;114.75777433882823;32.66;0.12159442901611328
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'};9;794324.3034601457;891.2487326555622;417.74424924841855;200.36122273785276;33.77;0.14171385765075684
c.lynx;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'};10;2245707.260404501;1498.5684036454595;567.1562320732309;144.3478400085977;43.67;0.10106873512268066
c.lynx;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};11;603128.2958489135;776.6133502901644;416.00742960221305;136.26370732368096;30.32;0.10511636734008789
c.lynx;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'};12;655930.8809389815;809.8955987897339;582.2276060575246;144.6987693523164;26.52;0.10324740409851074
c.lynx;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'};13;560756.5037928506;748.8367671214139;485.9912053927235;141.1354275625713;31.1;0.10824155807495117
c.lynx;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'};14;858752.0861904996;926.6887752587163;576.2353462620101;129.86437401175442;33.69;0.11646413803100586
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};15;1919990.5610122862;1385.6372400496048;584.3199990831821;142.9556006402915;40.8;0.11634612083435059
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};16;1947054.5714429845;1395.368973226431;543.2508732606709;137.74785193522524;40.8;0.12340164184570312
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};17;712667.7244524601;844.1964963516847;486.79678317048365;98.40505155340033;30.05;0.11877965927124023
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};18;1825215.5058298602;1351.0053685422054;556.2537061841431;144.50355513124703;40.27;0.11492800712585449
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};19;1819150.724550042;1348.758957171385;557.5239576124471;141.6870290803758;39.96;0.11505246162414551
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};20;1762931.9739080984;1327.754485553748;575.2486456608917;143.98324700171878;39.42;0.10462117195129395
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};21;1745608.1336271446;1321.2146432836507;582.586403253598;144.65911291322462;39.27;0.11496186256408691
c.lynx;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'};22;904374.0103374531;950.9858097455782;344.82534817222006;95.20732410752272;33.31;0.1184849739074707
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};23;633875.7800196707;796.1631616821207;529.7365531132549;114.40863993102224;41.95;0.11762309074401855
c.lynx;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};24;902368.7618181639;949.9309247614607;712.1764723102106;131.6315875249632;42.96;0.12838530540466309
