model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
ARIMA;IBM;2;325,59775488271634;18,04432749876582;14,453181657871284;12,654717421202331;6,89;37,82792973518372; ARIMA(1,0,1)(0,0,0)[12] intercept
ARIMA;IBM;2;325,5979483226752;18,044332858897143;14,453198876904466;12,654723797046431;6,89;44,57783436775208; ARIMA(1,0,1)(0,0,0)[12] intercept
LSTM;IBM;0;451,6343688964844;21,25169096557929;19,319488525390625;16,216335;8,91;103,24068593978882;LSTM (8,8,8) n_time_steps=0 epochs=200
LSTM;IBM;0;451,6645812988281;21,2524017771834;19,32025146484375;16,216972;8,91;104,816100358963;LSTM (8,8,64) n_time_steps=0 epochs=200
MLP;IBM;1;86,50831150750574;9,300984437547768;8,276123425431983;6,9849473088477065;3,64;23,28687047958374;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
SVR;IBM;1;2,353355850803169;1,5340651390352265;0,8503095134114744;0,964160034037728;0,48;1,6018168926239014;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM;2;2,272396506229921;1,5074470160605715;0,9251024935965688;0,9514849922723498;0,48;1,5841779708862305;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;IBM;5;2,344773938364205;1,531265469591803;0,8911913351465586;0,964102136046312;0,48;1,4577243328094482;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM;6;2,3924558104567124;1,5467565453091552;0,8818836192394315;0,9713690866276068;0,48;1,5843589305877686;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
ARIMA;TSLA;0;3583,6706680051834;59,86376757275793;42,28666687011719;27,11801247325678;10,94;0,3520798683166504; ARIMA(0,1,0)(0,0,0)[12]          
MLP;TSLA;2;94,9768739798808;9,74560793280136;6,895230589488783;3,6602431797859216;1,83;17,462634086608887;{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
SVR;TSLA;14;71,40294292350502;8,450026208450778;6,265477935701483;3,20159979318912;1,6;1,6765320301055908;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
ARIMA;canadian;1;1133072,255345971;1064,4586677489976;768,2678432364978;168,4399319836995;33,61;24,48554420471192; ARIMA(2,0,1)(0,0,2)[12] intercept
LSTM;canadian;0;1814454,125;1347,0167500814532;1214,0;312,78867;42,21;82,68480706214905;LSTM (8,8,8) n_time_steps=0 epochs=500
MLP;canadian;5;998953,3154572152;999,4765207133258;804,7865847383176;169,79966019274755;30,62;12,148804187774658;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
SVR;canadian;3;726960,0349085802;852,6195135631017;356,2049179377583;111,89994981181606;25,32;1,6135857105255127;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}
MLP;sunspot;1;6241,149677637305;79,00094732113853;29,39099260321825;8,660112512544558;4,43;22,13679528236389;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
SVR;sunspot;1;7038,698599834976;83,8969522678564;31,42597490174103;8,724112261763633;4,5;14,609557867050173;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
